"form","count","description","example_filing_url","example_primary_doc_url"
"N-1","2","Registration Statement for Open-End Management Investment Companies.  Filed by mutual funds.","https://www.sec.gov/Archives/edgar/data/1521373/000152137312000045/0001521373-12-000045-index.html","https://www.sec.gov/Archives/edgar/data/1521373/000152137312000045/n1a.txt"
"486B24E","2","Post-Effective Amendment to a Registration Statement on Form N-1A Relating to Certain Closed-End Management Investment Companies. Filed by closed-end management investment companies to amend their registration statements after they have become effective.","https://www.sec.gov/Archives/edgar/data/783194/000095013196001610/0000950131-96-001610-index.html","https://www.sec.gov/Archives/edgar/data/783194/"
"35-APP/A","2","Amendment to Application.  Filed by a company to make changes or additions to a previously submitted application.","https://www.sec.gov/Archives/edgar/data/23752/000091476000000244/0000914760-00-000244-index.html","https://www.sec.gov/Archives/edgar/data/23752/000091476000000244/0000914760-00-000244-0001.txt"
"T-6","2","Notification of Suspension of Duty to File Reports Pursuant to Section 13 and 15(d) of the Securities Exchange Act of 1934.  Filed by companies when they are suspending their reporting obligations.","https://www.sec.gov/Archives/edgar/data/2002342/000110465923121645/0001104659-23-121645-index.html","https://www.sec.gov/Archives/edgar/data/2002342/000110465923121645/tm2324183d7_t6.htm"
"40-205E/A","","Amendment to an Application for an Order under the Investment Company Act of 1940. Filed to make changes or provide updates to information in the initial application.","https://www.sec.gov/Archives/edgar/data/1318686/999999999705051006/9999999997-05-051006-index.html","https://www.sec.gov/Archives/edgar/data/1318686/999999999705051006/9999999997-05-051006.paper"
"G-405/A","2","Amendment to a Certification of a Currency Backstop. Filed to update or correct information from a previously submitted certification, confirming that arrangements are in place to mitigate currency-related risks.","https://www.sec.gov/Archives/edgar/data/814494/999999999710016758/9999999997-10-016758-index.html","https://www.sec.gov/Archives/edgar/data/814494/999999999710016758/9999999997-10-016758.paper"
"ID-NEWCIK","1","New Central Index Key (CIK) Assignment.   This means that a new company or entity has been assigned a unique CIK by the SEC.","https://www.sec.gov/Archives/edgar/data/1305631/999999999604016980/9999999996-04-016980-index.html","https://www.sec.gov/Archives/edgar/data/1305631/999999999604016980/filename2.txt"
"486A24E","1","Post-Effective Amendment to a Registration Statement on Form N-1A Relating to Certain Unit Investment Trusts.   Filed to update information in a unit investment trust's registration statement.","https://www.sec.gov/Archives/edgar/data/81247/000008124794000025/0000081247-94-000025-index.html","https://www.sec.gov/Archives/edgar/data/81247/"
"NTN 11K","1","Notice of Late Filing of Form 11-K. Filed by companies that are late in submitting their Form 11-K, which is an annual report for employee stock purchase, savings, and similar plans.","https://www.sec.gov/Archives/edgar/data/27904/000095010994002389/0000950109-94-002389-index.html","https://www.sec.gov/Archives/edgar/data/27904/"
"10-M","1","General Form for Reports.  This form is used for various purposes, such as submitting reports required by specific SEC rules or regulations.","https://www.sec.gov/Archives/edgar/data/1892040/999999999722003033/9999999997-22-003033-index.html","https://www.sec.gov/Archives/edgar/data/1892040/999999999722003033/9999999997-22-003033.paper"
"REVOCATION","1","Revocation. This typically means the cancellation or withdrawal of a previously granted permission, license, or approval.","https://www.sec.gov/Archives/edgar/data/1621881/999999999721004808/9999999997-21-004808-index.html","https://www.sec.gov/Archives/edgar/data/1621881/999999999721004808/filename1.pdf"
"485BXTF","1","Post-Effective Amendment for Business Development Companies. This form is an amendment to a registration statement for a company operating as a Business Development Company (BDC).","https://www.sec.gov/Archives/edgar/data/837389/000083738997000007/0000837389-97-000007-index.html","https://www.sec.gov/Archives/edgar/data/837389/"
"SB-1MEF","1","Registration Statement.   This is for smaller companies that are also emerging growth companies (EGCs).","https://www.sec.gov/Archives/edgar/data/1121076/000110313201500055/0001103132-01-500055-index.html","https://www.sec.gov/Archives/edgar/data/1121076/000110313201500055/rlbody22462b.htm"
"REG-NR/A","1","Amendment to a registration statement filed by a foreign private issuer. This relates to updating or correcting information from a previously filed registration statement under the Securities Act.","https://www.sec.gov/Archives/edgar/data/1003316/999999999707052532/9999999997-07-052532-index.html","https://www.sec.gov/Archives/edgar/data/1003316/999999999707052532/9999999997-07-052532.paper"
"26","1","Application by a Non-resident General Partner of a Registered Investment Company for Order Permitting Operation of Foreign Business.  Filed with the SEC.","https://www.sec.gov/Archives/edgar/data/1159297/999999999702030139/9999999997-02-030139-index.html","https://www.sec.gov/Archives/edgar/data/1159297/999999999702030139/9999999997-02-030139.paper"
"U-33-S/A","1","Amendment to a report filed by trust indenture trustees. Used for making changes or providing updates to a previously filed Form U-33-S, which relates to the trustee's activities and the status of the trust.","https://www.sec.gov/Archives/edgar/data/30371/000095016801500249/0000950168-01-500249-index.html","https://www.sec.gov/Archives/edgar/data/30371/000095016801500249/formu33s_83414.txt"
"G-405N/A","1","Amendment to a certification of a currency backstop.  Used for updating or correcting information.","https://www.sec.gov/Archives/edgar/data/814494/999999999712012291/9999999997-12-012291-index.html","https://www.sec.gov/Archives/edgar/data/814494/999999999712012291/9999999997-12-012291.paper"
"UNDER/A","1","Amendment to a filing related to an underwritten public offering.   This involves changes or updates to the initial offering documents.","https://www.sec.gov/Archives/edgar/data/768836/000082002701500054/0000820027-01-500054-index.html","https://www.sec.gov/Archives/edgar/data/768836/000082002701500054/wd01s6.txt"
"10-QSB/A","1","Amendment to Quarterly Report for Smaller Reporting Companies.  Used for making changes or corrections to information in the initial 10-QSB.","https://www.sec.gov/Archives/edgar/data/1142488/000114248801500010/0001142488-01-500010-index.html","https://www.sec.gov/Archives/edgar/data/1142488/000114248801500010/rp10q901.txt"
"40-8F-B/A","1","Amendment to an application for an order under the Investment Company Act.  Used for correcting or adding information.","https://www.sec.gov/Archives/edgar/data/1141299/000092838501502830/0000928385-01-502830-index.html","https://www.sec.gov/Archives/edgar/data/1141299/000092838501502830/d408fba.txt"
"ADV/A","1","Amendment to a Form ADV, which is the primary registration form for investment advisers. This amendment likely relates to updates to the adviser's business, operations, or clients.","https://www.sec.gov/Archives/edgar/data/917785/999999999702010219/9999999997-02-010219-index.html","https://www.sec.gov/Archives/edgar/data/917785/999999999702010219/9999999997-02-010219.paper"
"10-KSB","1","Annual Report for Small Business Issuers. This form is a simplified version of the Form 10-K, providing a streamlined reporting process for smaller companies.","https://www.sec.gov/Archives/edgar/data/1059366/000102589402000146/0001025894-02-000146-index.html","https://www.sec.gov/Archives/edgar/data/1059366/000102589402000146/n_k111.txt"
"39-304D/A","1","Amendment to a notice of proposed change in fiscal year-end. Filed by companies that are making a change to their fiscal year and need to update the information previously submitted.","https://www.sec.gov/Archives/edgar/data/1276676/999999999704032164/9999999997-04-032164-index.html","https://www.sec.gov/Archives/edgar/data/1276676/999999999704032164/9999999997-04-032164.paper"
"PREA14C","1","Preliminary Information Statement. A preliminary version of the information statement, which is similar to a proxy statement but used for non-voting matters.","https://www.sec.gov/Archives/edgar/data/1013170/000101287099004456/0001012870-99-004456-index.html","https://www.sec.gov/Archives/edgar/data/1013170/000101287099004456/"
"NTN15D2","1","Notice of Late Filing of Schedule 15D-2. This notice is filed by issuers (companies) that are repurchasing their own shares and are unable to file their Schedule 15D-2, which reports on the repurchase program, by the required deadline.","https://www.sec.gov/Archives/edgar/data/1030179/000091205702012120/0000912057-02-012120-index.html","https://www.sec.gov/Archives/edgar/data/1030179/000091205702012120/a2075193znt15d2.txt"
"40-8FC/A","1","Amendment to a notice of proposed change in fiscal year end.  Filed by closed-end investment companies.","https://www.sec.gov/Archives/edgar/data/1160943/999999999702054425/9999999997-02-054425-index.html","https://www.sec.gov/Archives/edgar/data/1160943/999999999702054425/9999999997-02-054425.paper"
"NT 10-D/A","1","Amendment to a Notice of Late Filing for Form 10-D.   Filed by companies that previously submitted a notice about being late in filing their Form 10-D.","https://www.sec.gov/Archives/edgar/data/1394660/000090342309000196/0000903423-09-000196-index.html","https://www.sec.gov/Archives/edgar/data/1394660/000090342309000196/holmes-nt10da_0304.htm"
"AFDB/A","1","Amendment to a filing related to the African Development Bank. This could be an amendment to a loan agreement, a project financing document, or any other relevant filing.","https://www.sec.gov/Archives/edgar/data/785677/999999999703032844/9999999997-03-032844-index.html","https://www.sec.gov/Archives/edgar/data/785677/999999999703032844/9999999997-03-032844.paper"
"EBRD/A","1","Amendment to a filing related to the European Bank for Reconstruction and Development (EBRD). This amendment could pertain to a loan agreement, project financing, or other relevant documents filed with the SEC.","https://www.sec.gov/Archives/edgar/data/895027/999999999703040566/9999999997-03-040566-index.html","https://www.sec.gov/Archives/edgar/data/895027/999999999703040566/9999999997-03-040566.paper"
"U-12-IA/A","1","Amendment to Registration Statement for Certain Governments and Political Subdivisions.  Filed to update or correct information about the securities offering.","https://www.sec.gov/Archives/edgar/data/1120424/000112042402000003/0001120424-02-000003-index.html","https://www.sec.gov/Archives/edgar/data/1120424/000112042402000003/secform.txt"
